time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
122,1003,122880,60,1554.1518987341772,724.8389282226562,0.4387908,0.2,-1.358179635927081,0.00025,-0.0036089928617002442,99.44311800599098,0.0067346897,30.917255401611328,0.0072265625,590,,
124,1007,124928,61,1532.6172839506173,724.8829345703125,0.4123934,0.2,-1.3571479823440313,0.00025,-0.003781220733071677,53.125760447978976,0.008208429,12.2975492477417,0.038623046875,600,,
,,125000,,,,0.7557826,0.2,-1.3457299597561359,0.00025,-0.0011343848163960502,450.0155079841614,0.0010848611,106.44700622558594,0.0,610,582.351806640625,2542.0
131,968,126976,62,1532.6172839506173,724.8829345703125,,,,,,,,,,,,
132,971,129024,63,1550.5121951219512,724.2665405273438,-0.64156866,0.2,-1.3483168072998524,0.00025,-0.006425275228684768,44.053967805206774,0.009591918,4.709660530090332,0.045068359375,620,,
134,975,131072,64,1567.9759036144578,717.2640991210938,0.0075854063,0.2,-1.3735445205122232,0.00025,-0.004092332858999725,115.70843737125396,0.008198604,22.39291000366211,0.0185546875,630,,
136,978,133120,65,1562.4235294117648,704.3712158203125,0.634153,0.2,-1.37479235753417,0.00025,-0.010732217716576998,66.93484725952149,0.008847769,18.575008392333984,0.093505859375,640,,
137,981,135168,66,1562.4235294117648,704.3712158203125,0.7164373,0.2,-1.3708621568977832,0.00025,-0.006112644335371442,156.3252790570259,0.0097104665,19.998764038085938,0.016064453125,650,,
139,984,137216,67,1567.344827586207,689.4248657226562,-0.3160349,0.2,-1.3721123240888118,0.00025,-0.010055266636481975,12.68480948805809,0.00955924,3.051996946334839,0.103076171875,660,,
140,987,139264,68,1463.2947368421053,636.2021484375,0.5496624,0.2,-1.3631357941776514,0.00025,-0.0036841679699136875,193.6526714324951,0.0065861978,55.92848587036133,0.0203125,670,,
142,990,141312,69,1464.0520833333333,630.3806762695312,0.63666403,0.2,-1.34986261613667,0.00025,-0.006078133447590517,297.7118123531342,0.011216285,57.590492248535156,0.0583984375,680,,
144,993,143360,70,1464.0520833333333,630.3806762695312,0.5598508,0.2,-1.3732111502438784,0.00025,-0.008102195032552117,115.90432771444321,0.012429852,32.86782455444336,0.0607421875,690,,
145,996,145408,71,1479.8865979381444,625.6828002929688,0.60335493,0.2,-1.3569736130535603,0.00025,-0.016413346206536516,23.833505073189734,0.011228118,5.81658411026001,0.176416015625,700,,
147,999,147456,72,1495.3979591836735,620.0757446289062,-0.97914803,0.2,-1.3589658588171005,0.00025,-0.0016744110660511069,63.6688147932291,0.0030637356,9.960162162780762,4.8828125e-05,710,,
149,1002,149504,73,1493.6262626262626,621.9769287109375,0.6896424,0.2,-1.3641089744865895,0.00025,-0.0018457576727087144,129.26584265828131,0.004759155,36.79324722290039,0.000439453125,720,,
,,150000,,,,0.56059384,0.2,-1.3746463540941476,0.00025,-0.006978443378466181,59.105363795161246,0.010343866,14.9854736328125,0.101708984375,730,149.2304229736328,1946.6
154,977,151552,74,1508.69,617.7529296875,,,,,,,,,,,,
156,980,153600,75,1522.53,647.5406494140625,0.71663654,0.2,-1.3705111753195525,0.00025,-0.004220110349160677,232.2789614379406,0.008231475,48.39057922363281,0.016015625,740,,
158,983,155648,76,1532.78,668.8516235351562,0.22780967,0.2,-1.3711732625961304,0.00025,-0.0009878856697469018,735.8927934169769,0.0007793765,260.46295166015625,0.0,750,,
159,986,157696,77,1549.3,666.47265625,0.6264334,0.2,-1.3688661500811576,0.00025,-0.0009903461643261835,271.57038555145266,0.0010057358,64.05696868896484,0.0,760,,
161,989,159744,78,1537.45,680.03564453125,0.6005446,0.2,-1.3646897587925195,0.00025,-0.011279890687364968,34.14231956899166,0.009671126,8.976728439331055,0.114306640625,770,,
163,992,161792,79,1539.94,691.807861328125,0.6744305,0.2,-1.3704409215599298,0.00025,-0.0018243348386022262,381.5579731941223,0.0040080887,121.74993896484375,0.0029296875,780,,
164,994,163840,80,1534.21,710.2284545898438,0.6440872,0.2,-1.3657609440386296,0.00025,-0.0007962029339978471,443.17485904693604,0.0007556989,187.74783325195312,0.0,790,,
166,996,165888,81,1534.66,717.5682983398438,0.6476987,0.2,-1.3720827501267194,0.00025,-0.0008328078591148369,524.6572724819183,0.00035304672,80.75628662109375,0.0,800,,
168,998,167936,82,1545.19,724.2742309570312,0.68024814,0.2,-1.3716690205037594,0.00025,-0.0027868787554325538,475.26209301948546,0.0033704452,193.17251586914062,0.00078125,810,,
169,1000,169984,83,1560.44,743.549560546875,0.601428,0.2,-1.3718497280031443,0.00025,-0.002815024059964344,306.39535982608794,0.0042148884,87.1019058227539,0.00400390625,820,,
171,1002,172032,84,1584.76,777.091796875,0.7203921,0.2,-1.367037096992135,0.00025,-0.00377774308581138,445.7801975250244,0.0055394545,97.78299713134766,0.006103515625,830,,
173,1004,174080,85,1573.3,808.253662109375,0.7822852,0.2,-1.366040713712573,0.00025,-0.0008287219716294203,613.8361972808838,0.001377803,231.33802795410156,0.0,840,,
,,175000,,,,0.7876619,0.2,-1.356826850771904,0.00025,-0.009029651494711289,447.9837906122208,0.00857435,198.5995330810547,0.048681640625,850,674.8765869140625,2027.4
179,980,176128,86,1564.54,811.4288330078125,,,,,,,,,,,,
181,982,178176,87,1586.0,834.7806396484375,0.5100901,0.2,-1.3703751426190138,0.00025,-0.001731563160137739,508.7787783622742,0.0026740278,89.63626098632812,9.765625e-05,860,,
182,985,180224,88,1590.33,831.4861450195312,0.27788597,0.2,-1.3733239758759737,0.00025,-0.0018287952712853438,302.29321482181547,0.003201777,35.5168342590332,0.0,870,,
184,987,182272,89,1591.21,827.16650390625,0.70997274,0.2,-1.3718971367925406,0.00025,-0.0071709642368659844,73.61666869223117,0.011460492,12.963937759399414,0.071630859375,880,,
186,989,184320,90,1591.21,827.16650390625,0.731704,0.2,-1.3666500359773637,0.00025,-0.001849599793786183,445.94062876701355,0.0036034132,110.69102478027344,0.002880859375,890,,
187,991,186368,91,1618.97,841.4213256835938,0.5906174,0.2,-1.378269935399294,0.00025,-0.0009397332309163175,285.1114938735962,0.0023039097,83.75967407226562,0.0,900,,
189,993,188416,92,1617.26,843.9393920898438,0.77441704,0.2,-1.352468952909112,0.00025,-0.0072785232972819355,109.24246218800545,0.009038635,22.987380981445312,0.044384765625,910,,
191,995,190464,93,1618.74,830.4098510742188,0.79984003,0.2,-1.3532270077615975,0.00025,-0.0022561097925063224,483.2697587251663,0.003361472,121.20722198486328,0.0,920,,
