time/iterations,time/time_elapsed,train/entropy_loss,train/explained_variance,train/n_updates,time/fps,train/policy_loss,time/total_timesteps,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
14200,69,-1.343421220779419,-0.7769015,14199,1014,0.02905113436281681,71000,0.0007150706369429827,0.00025,920.3243243243244,421.7842712402344,,
14300,70,-1.3308024406433105,-7443.3057,14299,1015,-5.475129127502441,71500,24.717342376708984,0.00025,948.0533333333333,417.6834716796875,,
14400,70,-1.3494125604629517,-0.74710035,14399,1015,-0.26693710684776306,72000,0.03541593998670578,0.00025,948.0533333333333,417.6834716796875,,
14500,71,-1.2895479202270508,-0.48048425,14499,1016,0.12946249544620514,72500,0.010047143325209618,0.00025,948.0533333333333,417.6834716796875,,
14600,71,-1.3369970321655273,0.09618896,14599,1017,-0.4357340931892395,73000,0.06776083260774612,0.00025,948.0533333333333,417.6834716796875,,
14700,72,-1.3193374872207642,0.8327851,14699,1017,0.058887891471385956,73500,0.0025099962949752808,0.00025,948.0533333333333,417.6834716796875,,
14800,72,-1.3481779098510742,-212.43675,14799,1018,-0.2989767789840698,74000,0.06706620752811432,0.00025,972.6315789473684,417.5609436035156,,
14900,73,-1.3452116250991821,-0.24074876,14899,1019,0.03333184868097305,74500,0.0028800596483051777,0.00025,972.6315789473684,417.5609436035156,,
,,-1.3416646718978882,-137.55525,14999,,-0.004867760464549065,75000,7.242381980177015e-05,0.00025,,,449.1,243.97329711914062
15000,74,,,,1005,,75000,,,972.6315789473684,417.5609436035156,,
15100,75,-1.3370050191879272,-0.8607577,15099,1006,-0.08218319714069366,75500,0.005100412759929895,0.00025,972.6315789473684,417.5609436035156,,
15200,75,-1.3459956645965576,-0.94825196,15199,1007,-0.12529821693897247,76000,0.014558074995875359,0.00025,981.1038961038961,414.6385803222656,,
15300,75,-1.339275598526001,-25937.566,15299,1008,-4.629178047180176,76500,16.981464385986328,0.00025,981.1038961038961,414.6385803222656,,
15400,76,-1.3495235443115234,-3505.6035,15399,1009,26.5784912109375,77000,561.1552734375,0.00025,981.1038961038961,414.6385803222656,,
15500,76,-1.3373005390167236,0.93496287,15499,1010,-0.022647708654403687,77500,0.00035444562672637403,0.00025,981.1038961038961,414.6385803222656,,
15600,77,-1.3440382480621338,0.26083648,15599,1010,0.09590771049261093,78000,0.006436633877456188,0.00025,981.1038961038961,414.6385803222656,,
15700,77,-1.327398657798767,0.44464916,15699,1011,0.11710026115179062,78500,0.009808627888560295,0.00025,981.1038961038961,414.6385803222656,,
15800,78,-1.3326951265335083,0.89009637,15799,1011,7.310166358947754,79000,41.8664665222168,0.00025,1006.9871794871794,427.4859924316406,,
15900,78,-1.3209322690963745,0.9824347,15899,1012,0.1243622750043869,79500,0.09087368845939636,0.00025,1006.9871794871794,427.4859924316406,,
16000,79,-1.344736099243164,-2638.3433,15999,1012,27.616802215576172,80000,773.12939453125,0.00025,1010.1392405063291,445.7741394042969,,
16100,79,-1.359141230583191,0.9653942,16099,1012,3.2500128746032715,80500,8.693380355834961,0.00025,1010.1392405063291,445.7741394042969,,
16200,79,-1.3185263872146606,-1.9908915,16199,1013,0.06862559169530869,81000,0.0035217024851590395,0.00025,1010.1392405063291,445.7741394042969,,
16300,80,-1.3513156175613403,-1.8123252,16299,1013,0.06116089969873428,81500,0.009122497402131557,0.00025,1010.1392405063291,445.7741394042969,,
16400,80,-1.349453330039978,-877.3485,16399,1014,-0.9552568197250366,82000,2.268975019454956,0.00025,1010.1392405063291,445.7741394042969,,
16500,81,-1.3118834495544434,-106.771866,16499,1015,0.20967134833335876,82500,0.03877326101064682,0.00025,1027.0125,459.9068298339844,,
16600,81,-1.3267779350280762,-0.4992553,16599,1015,-0.15765461325645447,83000,0.01580611988902092,0.00025,1027.0125,459.9068298339844,,
16700,82,-1.3363163471221924,-59.67731,16699,1016,0.09507636725902557,83500,0.16422586143016815,0.00025,1027.432098765432,455.4983215332031,,
16800,82,-1.3324058055877686,-0.6665931,16799,1016,-0.14248734712600708,84000,0.008785726502537727,0.00025,1027.432098765432,455.4983215332031,,
16900,83,-1.336001992225647,-3.2293348,16899,1017,-0.3062387704849243,84500,0.04762385040521622,0.00025,1027.432098765432,455.4983215332031,,
17000,83,-1.3406425714492798,-0.837204,16999,1017,0.03465225547552109,85000,0.0010812260443344712,0.00025,1027.432098765432,455.4983215332031,,
17100,83,-1.3292880058288574,0.52473795,17099,1018,0.031343426555395126,85500,0.0013254645746201277,0.00025,1027.432098765432,455.4983215332031,,
17200,84,-1.3479949235916138,-4.230476,17199,1018,0.038330890238285065,86000,0.0011364675592631102,0.00025,1027.432098765432,455.4983215332031,,
17300,84,-1.3369605541229248,-327.7466,17299,1019,14.424189567565918,86500,120.1506118774414,0.00025,1051.4878048780488,450.9206848144531,,
17400,85,-1.3330039978027344,0.54818815,17399,1019,0.8209922909736633,87000,1.0512123107910156,0.00025,1051.4878048780488,450.9206848144531,,
17500,85,-1.334524393081665,0.0047565103,17499,1020,-0.03164476528763771,87500,0.0009336941875517368,0.00025,1051.4878048780488,450.9206848144531,,
17600,86,-1.3479511737823486,-1.4101942,17599,1020,0.07908709347248077,88000,0.00978103093802929,0.00025,1051.4878048780488,450.9206848144531,,
17700,86,-1.316443681716919,0.06932658,17699,1021,-0.10694842040538788,88500,0.00665969867259264,0.00025,1051.4878048780488,450.9206848144531,,
17800,87,-1.2925670146942139,-4.98725,17799,1021,-2.614262819290161,89000,2.3284120559692383,0.00025,1070.8313253012047,464.4723815917969,,
